# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
pipe.txt
coin.txt
mushroom.txt
colorblock.txt
qblock.txt
environment.txt
goomba.txt
plant.txt
plantfireball.txt
koopas.txt
flygoomba.txt
leaf.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 5 = Platform, 7 = ?Block, 8 = Pipe, 9 = colorblock, 10 = environment
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	32	10

#PLATFORM
5	0	180	16	16	40	20002	20001	20003
5	640	164	16	16	29	20002	20001	20003
5	640	180	16	16	29	20005	20004	20006
5	1168	180	16	16	22	20002	20001	20003
5	1552	180	16	16	5	20002	20001	20003
5	1680	180	16	16	36	20002	20001	20003
5	2272	180	16	16	35	20002	20001	20003

#WOOD BLOCK
1	1520	100	10001
1	1536	100	10001

1	1584	164	10001
1	1600	164	10001
1	1600	148	10001
1	1616	164	10001
1	1616	148	10001
1	1616	132	10001

1	1680	164	10001
1	1680	148	10001
1	1680	132	10001
1	1696	164	10001
1	1696	148	10001
1	1712	164	10001

#PIPE
8	368	164	10022
8	384	164	10023
8	368	148	10022
8	384	148	10023
8	368	132	10020
8	384	132	10021

8	1808	164	10022
8	1824	164	10023
8	1808	148	10020
8	1824	148	10021

8	1872	164	10022
8	1888	164	10023
8	1872	148	10022
8	1888	148	10023
8	1872	132	10020
8	1888	132	10021



#COLORBLOCK
9	240	132	16	16	3	20030	20031	20032
10	240	148	200
10	256	148	201
10	272	148	202
10	240	164	203
10	256	164	204
10	272	164	205

9	272	100	16	16	3	20040	20041	20042
10	272	116	206
10	288	116	207
10	304	116	208
10	288	132	207
10	304	132	208
10	288	148	207
10	304	148	208
10	288	164	210
10	304	164	211

9	416	132	16	16	5	20050	20051	20052
10	416	148	212
10	432	148	213
10	448	148	213
10	464	148	213
10	480	148	214
10	416	164	215
10	432	164	216
10	448	164	216
10	464	164	216
10	480	164	217

9	480	100	16	16	4	20030	20031	20032
10	480	116	200
10	496	116	201
10	512	116	201
10	528	116	202
10	496	132	201
10	512	132	201
10	528	132	202
10	496	148	201
10	512	148	201
10	496	164	204
10	512	164	204

9	528	68	16	16	4	20060	20061	20062
10	528	84	218
10	544	84	219
10	560	84	219
10	576	84	220
10	544	100	219
10	560	100	219
10	576	100	220
10	544	116	219
10	560	116	219
10	576	116	220
10	544	132	219
10	560	132	219
10	576	132	220	
				
9	528	148	16	16	6	20050	20051	20052
10	528	164	215
10	544	164	216
10	560	164	216
10	576	164	216
10	592	164	216
10	608	164	217

9	1280	148	16	16	7	20050	20051	20052
10	1280	164	215
10	1296	164	216
10	1312	164	216
10	1328	164	216
10	1344	164	216
10	1360	164	216
10	1376	164	217

9	1312	116	16	16	7	20030	20031	20032
10	1312	132	200
10	1328	132	201
10	1344	132	201
10	1360	132	201
10	1376	132	201
10	1392	132	201
10	1408	132	202
10	1392	148	201
10	1408	148	202
10	1392	164	204
10	1408	164	205

9	1344	84	16	16	7	20040	20041	20042
10	1344	100	206
10	1360	100	207
10	1376	100	207
10	1392	100	207
10	1408	100	207
10	1424	100	207
10	1440	100	208
10	1424	116	207
10	1440	116	208
10	1424	132	207
10	1440	132	208
10	1424	148	207
10	1440	148	208
10	1424	164	210
10	1440	164	211

#SHADOW
10	288	132	1111
10	288	148	1112
10	288	164	1112

10	320	100	1111
