# id	left	top	right	bottom	texture_id
[SPRITES]
#PINK COLORBLOCK
#BODY
20033	52	18	67	33	30
20034	69	18	84	33	30
20035	86	18	101	33	30
#BOTTOM
20036	52	35	67	50	30
20037	69	35	84	50	30
20038	86	35	101	50	30
#BLUE COLORBLOCK
#BODY
20043	103	18	118	33	30
20044	120	18	135	33	30
20045	137	18	152	33	30
#BOTTOM
20046	103	35	118	50	30
20047	120	35	135	50	30
20048	137	35	152	50	30
#GREEN COLORBLOCK
#BODY
20053	154	18	169	33	30
20054	171	18	186	33	30
20055	188	18	203	33	30
#BOTTOM
20056	154	35	169	50	30
20057	171	35	186	50	30
20058	188	35	203	50	30
#WHITE COLORBLOCK
#BODY
20063	205	18	220	33	30
20064	222	18	237	33	30
20065	239	18	254	33	30
#BOTTOM
20066	205	35	220	50	30
20067	222	35	237	50	30
20068	239	35	254	50	30


#GRASS TILES
40000	307	324	322	339	40
40001	324	324	339	339	40	
40002	307	307	322	322	40
40003	324	307	339	322	40
40004	307	341	322	356	40
40005	324	341	339	356	40
40006	341	324	356	339	40

#BUSH	
41000	375	324	390	339	40

#CLOUD
80000	715	1	730	16	40
80001	732	1	747	16	40
80002	749	1	764	16	40
80003	715	18	730	33	40
80004	732	18	747	33	40
80005	749	18	764	33	40

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#COLORBLOCK
200	20033	1000
201	20034	1000
202	20035	1000
203	20036	1000
204	20037	1000
205	20038	1000

206	20043	1000
207	20044	1000
208	20045	1000
209	20046	1000
210	20047	1000
211	20048	1000

212	20053	1000
213	20054	1000
214	20055	1000
215	20056	1000
216	20057	1000
217	20058	1000

218	20063	1000
219	20064	1000
220	20065	1000
221	20066	1000
222	20067	1000
223	20068	1000

#GRASS TILES
400	40000	1000
401	40001	1000
402	40002	1000
403	40003	1000
404	40004	1000
405	40005	1000
406	40006	1000

#BUSH
500	41000	1000

#CLOUD
800	80000	1000
801	80001	1000
802	80002	1000
803	80003	1000
804	80004	1000
805	80005	1000
